Time,SEP,IBOV,B3,CBOND
1994-06-30,444.27,3623.13.76,7.7253,
1994-07-31,458.26,4478.997868,3.87,7.8275
1994-08-31,475.5,6001.576577,4.02,8.0212
1994-09-30,462.71,6436.619718,3.87,8.1323
1994-10-31,472.35,5677.988166,3.86,8.3518
1994-11-30,453.69,5503.546099,4.08,7.7731
1994-12-31,459.27,5146.453901,4.21,8.8361
1995-01-31,470.42,4619.524376,4.21,9.6712
1995-02-28,487.39,3848.094118,4.18,11.9162
1995-03-31,500.71,3328.446927,4.26,13.4454
1995-04-30,514.71,4181.721491,4.1,11.3186
1995-05-31,533.4,4099.834711,4.39,10.3438
1995-06-30,544.75,3912.47557,4.44,10505
1995-07-31,562.06,4147.037433,4.33,10.5068
1995-08-31,561.88,4537.378947,4.72,10.4249
1995-09-30,584.41,4900.4617,4.73,9.5899
1995-10-31,581.5,4294.143957,4.77,10473
1995-11-30,605.37,4532.681159,4.93,9.8975
1995-12-31,615.93,4424.205002,4.96,8988
1996-01-31,636.02,5266.34635,4.95,7117
1996-02-29,640.43,5046.05598,5,7743
1996-03-31,645.5,5019.175446,4.63,7944
1996-04-30,654.17,5205.221248,4.64,7521
1996-05-31,669.12,5738.893898,4.6,7441
1996-06-30,670.63,6020.410399,4.64,8001
1996-07-31,639.95,6049.486268,4.67,7038
1996-08-31,651.99,6157.806198,4.58,6334
1996-09-30,687.31,6314.270323,4.44,5438
1996-10-31,705.27,6360.153816,4.58,6375
1996-11-30,757.02,6454.386135,4.42,5879
1996-12-31,740.74,6778.960039,4.11,5435
1997-01-31,786.16,7617.339327,3.39,4707
1997-02-28,790.82,8400.313987,3.32,4478
1997-03-31,757.12,8537.238059,3.36,4.68
1997-04-30,801.34,9386.35637,3.55,4852
1997-05-31,848.28,10599.67299,3.59,4394
1997-06-30,885.14,11673.43489,3.31,4186
1997-07-31,954.29,11887.02558,3.45,4194
1997-08-31,899.47,9721.845505,3.27,4.36
1997-09-30,947.28,10763.87774,3.28,4055
1997-10-31,914.62,8149.387866,3.45,7546
1997-11-30,955.4,8467.579991,3.68,6028
1997-12-31,970.43,9136.693548,3.61,5567
1998-01-31,980.28,8652.563646,3.72,5831
1998-02-28,1049.34,9354.725664,3.61,5285
1998-03-31,1101.75,10507.09763,3.42,4736
1998-04-30,1111.75,10204.57922,3.36,4961
1998-05-31,1090.82,8561.472915,3.48,6077
1998-06-30,1133.84,8368.586252,3.81,7001
1998-07-31,1120.67,9206.577816,3.78,6399
1998-08-31,957.28,5501.18147,5.32,13154
1998-09-30,1017.01,5561.142038,6.43,11489
1998-10-31,1098.67,5908.283032,6845,10707
1998-11-30,1163.63,7187.833111,5286,9583
1998-12-31,1229.23,5614.772821,5712,11534
1999-01-31,1279.64,3986.126829,5589,13471
1999-02-28,1238.33,4378.732187,5343,11792
1999-03-31,1286.37,6227.860262,5088,10029
1999-04-30,1335.18,6817.153153,4922,8425
1999-05-31,1301.84,6443.701336,5378,10064
1999-06-30,1372.71,6634.487874,4.96,9244
1999-07-31,1328.72,5797.834536,5008,10222
1999-08-31,1320.41,5505.263158,5.14,10.78
1999-09-30,1282.71,5732.289032,4893,9835
1999-10-31,1362.93,6003.181119,5086,8699
1999-11-30,1388.91,7165.293812,4999,8134
1999-12-31,1469.25,9500.611451,4658,6417
2000-01-31,1394.46,9186254515,7464,
2000-02-29,1366.42,9997.282763,4811,6773
2000-03-31,1498.58,10265.19009,5856,6.95
2000-04-30,1452.43,8598.561151,5888,7572
2000-05-31,1420.6,8199.895833,6818,8105
2000-06-30,1454.6,9262.430786,6679,7362
2000-07-31,1430.83,9236.373842,6499,7214
2000-08-31,1517.68,9512.859885,6426,6794
2000-09-30,1436.51,8637.955531,6949,6982
2000-10-31,1429.4,7820.741715,7769,7478
2000-11-30,1314.95,6710.80303,7932,8089
2000-12-31,1320.28,7825.276923,8628,7.56
2001-01-31,1366.01,8961.850913,7666,6647
2001-02-28,1239.94,7767.062561,7374,7423
2001-03-31,1160.33,6679.5198,7533,8011
2001-04-30,1249.46,6725.671776,7132,7969
2001-05-31,1255.82,6208.670961,6939,8424
2001-06-30,1224.42,6351.607556,6828,8416
2001-07-31,1211.23,5652.239665,6916,9694
2001-08-31,1133.58,5054.757312,7098,9534
