Time,ICV
1970-01-31,71.6
1970-02-28,72.5
1970-03-31,73.5
1970-04-30,74.5
1970-05-31,75.2
1970-06-30,76.3
1970-07-31,76.9
1970-08-31,78.1
1970-09-30,80
1970-10-31,80.9
1970-11-30,81.7
1970-12-31,82.9
1971-01-31,84.7
1971-02-28,86.3
1971-03-31,88.8
1971-04-30,90.9
1971-05-31,91.5
1971-06-30,93.4
1971-07-31,94.6
1971-08-31,95.9
1971-09-30,96.7
1971-10-31,97.8
1971-11-30,99.1
1971-12-31,100
1972-01-31,102.2
1972-02-29,103.7
1972-03-31,104.7
1972-04-30,106
1972-05-31,106.7
1972-06-30,107.9
1972-07-31,110.4
1972-08-31,112.3
1972-09-30,114.1
1972-10-31,116.1
1972-11-30,117.1
1972-12-31,117.5
1973-01-31,118.9
1973-02-28,120.2
1973-03-31,122.1
1973-04-30,124.2
1973-05-31,125.2
1973-06-30,126.2
1973-07-31,127.6
1973-08-31,128.9
1973-09-30,130.5
1973-10-31,132
1973-11-30,133.2
1973-12-31,133.9
1974-01-31,135.1
1974-02-28,139.9
1974-03-31,145.8
1974-04-30,153.2
1974-05-31,156.1
1974-06-30,158.1
1974-07-31,161.6
1974-08-31,164.7
1974-09-30,167.4
1974-10-31,170.2
1974-11-30,174
1974-12-31,178.1
1975-01-31,183.1
1975-02-28,187.5
1975-03-31,189.9
1975-04-30,194.1
1975-05-31,197.8
1975-06-30,204
1975-07-31,208
1975-08-31,215
1975-09-30,219
1975-10-31,223
1975-11-30,227
1975-12-31,230
1976-01-31,238
1976-02-29,251
1976-03-31,256
1976-04-30,263
1976-05-31,270
1976-06-30,275
1976-07-31,280
1976-08-31,290
1976-09-30,298
1976-10-31,305
1976-11-30,310
1976-12-31,318
1977-01-31,329
1977-02-28,343
1977-03-31,359
1977-04-30,375
1977-05-31,383
1977-06-30,393
1977-07-31,400
1977-08-31,407
1977-09-30,415
1977-10-31,424
1977-11-30,436
1977-12-31,449
1978-01-31,456
1978-02-28,474
1978-03-31,486
1978-04-30,495
1978-05-31,510
1978-06-30,535
1978-07-31,558
1978-08-31,572
1978-09-30,586
1978-10-31,602
1978-11-30,617
1978-12-31,628
1979-01-31,653
1979-02-28,667
1979-03-31,707
1979-04-30,731
1979-05-31,746
1979-06-30,778
1979-07-31,812
1979-08-31,840
1979-09-30,849
1979-10-31,936
1979-11-30,980
1979-12-31,1049
1980-01-31,1096
1980-02-29,1133
1980-03-31,1182
1980-04-30,1237
1980-05-31,1309
