Ano,Energia
1968-01-31,10951
1968-02-29,10671
1968-03-31,13643
1968-04-30,15109
1968-05-31,12602
1968-06-30,12295
1968-07-31,12056
1968-08-31,12376
1968-09-30,14146
1968-10-31,12993
1968-11-30,14206
1968-12-31,13603
1969-01-31,13044
1969-02-28,12132
1969-03-31,13606
1969-04-30,15876
1969-05-31,14316
1969-06-30,12675
1969-07-31,14290
1969-08-31,15170
1969-09-30,15065
1969-10-31,16273
1969-11-30,16505
1969-12-31,16060
1970-01-31,16964
1970-02-28,17675
1970-03-31,15548
1970-04-30,17275
1970-05-31,22318
1970-06-30,21117
1970-07-31,23326
1970-08-31,27224
1970-09-30,28794
1970-10-31,19554
1970-11-30,19601
1970-12-31,27330
1971-01-31,29260
1971-02-28,29591
1971-03-31,29509
1971-04-30,28883
1971-05-31,32390
1971-06-30,32702
1971-07-31,31748
1971-08-31,28157
1971-09-30,32898
1971-10-31,32909
1971-11-30,34087
1971-12-31,31760
1972-01-31,35105
1972-02-29,31767
1972-03-31,35608
1972-04-30,35094
1972-05-31,32674
1972-06-30,35438
1972-07-31,36270
1972-08-31,35369
1972-09-30,36742
1972-10-31,36615
1972-11-30,36748
1972-12-31,37289
1973-01-31,38277
1973-02-28,37825
1973-03-31,34107
1973-04-30,42106
1973-05-31,49218
1973-06-30,55002
1973-07-31,51820
1973-08-31,60111
1973-09-30,58980
1973-10-31,56281
1973-11-30,60731
1973-12-31,62870
1974-01-31,63653
1974-02-28,65574
1974-03-31,59721
1974-04-30,65205
1974-05-31,61340
1974-06-30,59538
1974-07-31,55018
1974-08-31,65002
1974-09-30,66740
1974-10-31,63595
1974-11-30,63202
1974-12-31,59822
1975-01-31,65653
1975-02-28,62089
1975-03-31,64107
1975-04-30,70440
1975-05-31,65237
1975-06-30,66885
1975-07-31,62929
1975-08-31,68011
1975-09-30,71948
1975-10-31,72940
1975-11-30,74873
1975-12-31,72523
1976-01-31,78868
1976-02-29,79610
1976-03-31,74635
1976-04-30,80178
1976-05-31,79802
1976-06-30,82737
1976-07-31,81259
1976-08-31,81697
1976-09-30,80502
1976-10-31,78160
1976-11-30,80078
1976-12-31,83807
1977-01-31,84608
1977-02-28,89889
1977-03-31,81894
1977-04-30,95400
1977-05-31,91214
1977-06-30,89767
1977-07-31,89726
1977-08-31,97896
1977-09-30,103416
1977-10-31,107646
1977-11-30,120409
1977-12-31,109626
1978-01-31,100276
1978-02-28,118065
1978-03-31,116504
1978-04-30,134251
1978-05-31,134667
1978-06-30,144760
1978-07-31,144438
1978-08-31,159168
1978-09-30,168255
1978-10-31,175231
1978-11-30,174530
1978-12-31,173720
1979-01-31,179821
1979-02-28,185780
1979-03-31,270327
1979-04-30,196949
1979-05-31,202968
1979-06-30,213178
1979-07-31,210912
1979-08-31,213598
1979-09-30,210297
