Time,temperatura,umidade
1997-01-01,18.4,78.58
1997-01-02,17.4,77.63
1997-01-03,17.1,78.56
1997-01-04,16.6,85.52
1997-01-05,15.8,83.36
1997-01-06,18.5,83.6
1997-01-07,17.3,79.85
1997-01-08,18.7,80.14
1997-01-09,19.6,80.9
1997-01-10,19.1,87.69
1997-01-11,18.9,86.85
1997-01-12,19.6,86
1997-01-13,19.5,83.76
1997-01-14,19.7,89.09
1997-01-15,20.8,88.92
1997-01-16,19.5,93.4
1997-01-17,18.5,84.54
1997-01-18,18.6,78.9
1997-01-19,17.8,77.38
1997-01-20,19.5,82.29
1997-01-21,19.4,87.36
1997-01-22,19.7,83.46
1997-01-23,19.4,86.51
1997-01-24,18.9,85.95
1997-01-25,18.9,86.38
1997-01-26,19,92.48
1997-01-27,18.6,94.45
1997-01-28,18.8,87.75
1997-01-29,19.6,81.21
1997-01-30,19.5,77.47
1997-01-31,19.5,76.79
1997-02-01,20,71.88
1997-02-02,19.4,80.4
1997-02-03,18.9,80.98
1997-02-04,18.2,78.05
1997-02-05,19,74.75
1997-02-06,17.3,79.38
1997-02-07,18.7,80.65
1997-02-08,18.1,77.52
1997-02-09,18.5,79.02
1997-02-10,17.1,81.86
1997-02-11,17.4,79.74
1997-02-12,18,85.22
1997-02-13,17,81.98
1997-02-14,18.1,78.24
1997-02-15,19,86.21
1997-02-16,18.6,89.86
1997-02-17,17.2,82.98
1997-02-18,19.2,83.43
1997-02-19,18.3,71.75
1997-02-20,21.1,70.63
1997-02-21,19.1,87.81
1997-02-22,20.1,81.47
1997-02-23,19,85.07
1997-02-24,19.3,86.91
1997-02-25,19,83.89
1997-02-26,17.3,79.88
1997-02-27,18.4,80.9
1997-02-28,17.3,85.37
1997-03-01,17.1,80.27
1997-03-02,15.4,80.61
1997-03-03,17.4,85.91
1997-03-04,16.1,84.09
1997-03-05,18.2,85.37
1997-03-06,18.2,83.63
1997-03-07,18.9,79.66
1997-03-08,18,81.97
1997-03-09,19.3,82.3
1997-03-10,17.8,80.65
1997-03-11,18.8,80.66
1997-03-12,18.3,71.64
1997-03-13,18.4,77.24
1997-03-14,18.4,83.28
1997-03-15,18.3,89.95
1997-03-16,17.5,88.57
1997-03-17,16.8,82.27
1997-03-18,15.6,83.4
1997-03-19,16,78.75
1997-03-20,17.3,81.99
1997-03-21,16.9,80.96
1997-03-22,14,80.24
1997-03-23,14.4,83.51
1997-03-24,15.6,81.12
1997-03-25,16.9,79.88
1997-03-26,17.2,80.21
1997-03-27,16.1,76.59
1997-03-28,13.6,77.97
1997-03-29,14.6,74.61
1997-03-30,13,81.62
1997-03-31,16.3,86.79
1997-04-01,17.6,86.16
1997-04-02,18,79.6
1997-04-03,18.1,74.37
1997-04-04,17.6,70.21
1997-04-05,14.8,83.69
1997-04-06,14.9,83.39
1997-04-07,14.4,84.05
1997-04-08,14.2,84.47
1997-04-09,15,81.89
1997-04-10,11.8,79.26
1997-04-11,12.2,79.87
1997-04-12,14.3,78.17
1997-04-13,13.2,74.79
1997-04-14,14.4,75.47
1997-04-15,13.3,79.23
1997-04-16,14.4,82.87
1997-04-17,17.6,84.63
1997-04-18,17,81.83
1997-04-19,16,75.35
1997-04-20,16.2,84.37
1997-04-21,16.3,89.58
1997-04-22,16.4,83.62
1997-04-23,15.2,84.07
1997-04-24,15.7,81.49
1997-04-25,14.3,71.58
1997-04-26,14.6,82.96
1997-04-27,13.3,85.66
1997-04-28,15.8,64.43
1997-04-29,11.8,63.88
1997-04-30,14.3,75.06
1997-05-01,14.4,74.41
1997-05-02,14.4,71.72
1997-05-03,14.4,78.2
1997-05-04,16.8,85.5
1997-05-05,15.4,82.1
