Time,IBV,PETRO,BANESPA,CEMIG
1995-01-03,4319,8780295,7.438023,12.42193
1995-01-04, 4097.9,8278564,6.423747,11.45399
1995-01-05, 3967.9,7944077,5.747563,11.45238
1995-01-06, 4036.6,8027698,6.085655,11.93796
1995-01-07, 3827.3,7400534,4.868524,11.61531
1995-01-08, 3627.8, 7191.48,4.496623,11.61531
1995-01-09,3270,6438883, 3.78663,10.32472
1995-01-10, 3499.1,6606127, 3.78663,11212
1995-01-11, 3840.6,7442345,4.800906,12.74458
1995-01-12, 4103.8,8278564,5.274235,13.71252
1995-01-13, 4056.4,8069509,4.936143,13.71252
1995-01-14, 4209.7,8278564,5.247187,13.87385
1995-01-15, 4078.5,8027698,5.138998, 13.5512
1995-01-16, 3809.3,7400534,4.733288,12.74458
1995-01-17, 3862.3,7609589,4.429005,12.58326
1995-01-18, 3758.4, 7191.48,4.733288,12.26061
1995-01-19, 3840.2,7358724,4.800906,12.66392
1995-01-20, 3840.2,7358724,4.800906,12.66392
1995-01-21, 3926.8,7902266,4.841477,12.66392
1995-01-22, 3784.3,7609589,4.800906,12.09929
1995-01-23, 3580.7,7066047,4.665669,11.37333
1995-01-24,3885,7693211,4.936143, 12.5026
1995-01-25, 3989.8,7944077,5.213378,12.74297
1995-01-26, 3897.8,7818644,4.936143,12.26061
1995-01-27, 3944.3, 8111.32,5.003761,12.42193
1995-01-28, 3829.8,7902266,4.936143,12.17833
1995-01-29, 3637.4,7525967,4.868524,11.77664
1995-01-30, 3556.2,7484156,4.868524,11.53465
1995-01-31, 3401.5,7107858,4.800906,10.97002
1995-02-01, 3307.7,7024236,4.773859,10.64737
1995-02-02, 3294.9,7358724,4.672431,10.48443
1995-02-03, 3192.2,7149669, 4.63186,10.00208
1995-02-04, 3069.4,6856992,4.259959,9.839139
1995-02-05, 2863.8,6564316,3.719012,9.597153
1995-02-06, 3023.2,6940614,3.921867,9.840752
1995-02-07, 2961.6,6773371,3.955676,9.921414
1995-02-08,2793,6273312,3.583775,9.598767
1995-02-09, 2872.3,6522505,3.448538,9.681042
1995-02-10, 3217.4,7358724,4.063865,10.40539
1995-02-11, 3270.8,7234127,4.131484,11.05068
1995-02-12, 3270.8,7234127,4.131484,11.05068
1995-02-13,2989,6606127, 3.78663,10.08274
1995-02-14,2988,6564316,3.685202,9.277732
1995-02-15, 2867.1,6271639,3.651393,8.224288
1995-02-16, 2615.7,5309988, 3.38092,7.420895
1995-02-17, 2363.3,4682824,3.178064,6.614276
1995-02-18, 2138.2,4264715,3.042828,6.452952
1995-02-19, 2686.1,5268177,3.414729,8.372706
1995-02-20, 2670.8,5059122,3.516156,8.227514
1995-02-21, 3016.9,5811719,3.428253,9.356781
1995-02-22, 2939.4,5603501,3.387681,9.034133
1995-02-23, 3141.7,6104396,3.482347,9.840752
1995-02-24, 2981.1,5978963,3.516156,9.840752
1995-02-25,2870,5477232, 3.38092,9.598767
1995-02-26, 3006.1,5686286, 3.38092, 10.2118
1995-02-27, 3003.9, 5561.69,3.245683,10.32472
1995-02-28, 3145.6, 5935.48,3.313301,11.05068
1995-03-01, 3361.2,6188018,3.759583,11.69598
1995-03-02, 3372.2,6071875,4.063865,11.61531
1995-03-03, 3255.7,5896243,4.158531,11.57734
1995-03-04, 3198.1,5728973,3.854248,11.24588
1995-03-05, 3125.5,5478069,3.806916, 11.1275
1995-03-06, 2978.9,5227165,3.583775,10.65399
1995-03-07, 2893.5,5018079,3.516156,10.41724
1995-03-08, 3125.1,5728973,3.583775,11.06832
1995-03-09, 3180.3,5728973,3.719012,11.30507
1995-03-10, 3254.5,5812608,3.921867,11.48264
1995-03-11, 3192.6,5603521,3.719012,11.24588
1995-03-12,3114,5352617,3.671679,10.83156
1995-03-13, 3017.7,5101714,3.516156,10.44683
1995-03-14, 3020.7,5185348,3.516156,10.71318
1995-03-15, 3113.1,5436252, 3.38092, 10.7191
1995-03-16, 3193.9,5561704,3.516156,10.77237
1995-03-17, 3330.6,5678793,3.583775, 11.1275
1995-03-18, 3384.2,5687156,3.691964,11.24588
1995-03-19, 3512.8,5979877,3.725773,11.71939
1995-03-20, 3699.1,6357906,3.921867,12.60723
1995-03-21, 3825.8,6690772,3.854248,13.31157
1995-03-22,3851, 7025.31,3.854248,13.02155
1995-03-23, 3813.7,7108945, 3.78663, 12.6605
1995-03-24, 3861.5,7276214,3.685202, 12.7256
1995-03-25, 3975.9,7527118,3.766344,13.02155
1995-03-26, 4043.9,7903474,3.793392, 13.2879
1995-03-27, 4008.2,7778022,3.773106,13.37668
1995-03-28, 3914.2,7527118,3.732535,13.19911
1995-03-29, 4065.4,7861657, 3.78663,13.43587
1995-03-30, 4050.4,7736205,3.854248,13.37668
1995-03-31,3951,7401666,3.854248,13.37668
1995-04-01, 3998.3,7568936,3.989485,13.43587
1995-04-02,3894, 7192.58,3.820439,13.37668
1995-04-03, 3835.1,6983493,3.732535,13.02155
1995-04-04, 3964.3,7359849,3.685202,13.08074
1995-04-05,4008, 7652.57, 3.78663,12.90317
1995-04-06,3950,7568936, 3.78663,12.54804
1995-04-07, 4033.7,7861657,3.685202,12.48885
1995-04-08, 4048.7,7861657,3.549966,12.42966
1995-04-09, 4099.5,7945292,3.516156,12.66641
1995-04-10, 4018.9, 7819.84,3.387681, 12.7256
1995-04-11, 3904.9, 7819.84,3.421491,12.60723
1995-04-12, 3896.3,7694388, 3.38092,12.60723
1995-04-13, 3706.8,7234397,3.549966,12.29944
1995-04-14, 3720.5,7108945,3.854248,12.37047
1995-04-15, 3773.5,7443484,3.617584,12.07453
1995-04-16, 3966.4,7903474,3.685202, 12.7256
1995-04-17, 4062.8,8238013,3.685202,13.02155
1995-04-18, 3933.2,7861657,3.651393, 12.7256
1995-04-19, 3808.1,7568936,3.556727,12.31128
1995-04-20, 3818.4,7569772, 3.71225, 12.1929
1995-04-21, 3670.6,7276214,3.651393, 11.6602
1995-04-22, 3704.7,7108945,3.719012,11.58918
1995-04-23, 3789.2,7150762, 3.78663,11.60102
1995-04-24,3665,6899858,3.719012, 11.1275
1995-04-25, 3717.8,6933312,3.698726, 11.1275
1995-04-26, 3696.1,6694117,3.698726,11.27548
1995-04-27, 3576.9, 6565.32,3.583775,10.80197
1995-04-28, 3631.6,6816224,3.435014,10.71318
1995-04-29, 3598.8,6648954,3.482347,10.71318
1995-04-30, 3585.6,6607137,3.516156,10.65399
1995-05-01,3537,6481685,3.441776,10.41724
1995-05-02, 3661.3,6690772,3.516156,10.86115
1995-05-03, 3715.4,6607137,3.516156,11.18669
1995-05-04,3678,6690772,3.516156,10.94994
1995-05-05, 3603.3,6523503,3.516156,10.65399
1995-05-06, 3594.3,6523503,3.522918,10.56521
1995-05-07, 3633.6, 6773.57,3.482347,10.64807
1995-05-08, 3700.3,6983493,3.516156,10.77237
1995-05-09, 3820.9,7292941,3.583775,11.36426
1995-05-10, 3961.7,7527118,3.854248,12.07453
1995-05-11, 3958.4, 7627.48, 3.78663,12.13371
1995-05-12, 3889.2,7527118,3.820439,11.77858
1995-05-13, 4026.4,7861657,4.726526,12.42966
1995-05-14, 4007.5,7694388,4.665669,12.31128
1995-05-15, 4026.8,7860821,4.530432,12.37047
1995-05-16, 4016.1,7736205,4.604813,12.16331
1995-05-17, 3919.1,7401666,4.530432,11.83777
1995-05-18, 3829.4,7150762,4.496623, 11.6602
1995-05-19,3939,7359849,4.868524,11.71939
1995-05-20, 3862.3,7231888,5.003761,11.89696
1995-05-21, 3899.6,7401666,5.308044,11.89696
1995-05-22, 3917.9,7359849,5.341853,11.98574
1995-05-23, 3878.8,7234397,5.017285,11.95615
1995-05-24, 3912.8,7276214,4.936143,12.00942
1995-05-25, 3888.3,7277051,5.071379,11.83777
1995-05-26, 3877.4,7276214,5.003761,11.71347
1995-05-27, 3870.8,7108945,5.003761, 11.6602
1995-05-28, 3918.4, 7192.58,5.308044,11.89696
1995-05-29, 4025.5,7443484,5.240425,12.13371
1995-05-30, 4200.3,7778022,5.172807,12.60723
1995-05-31, 4393.8,8112561,5.071379,13.31749
1995-06-01, 4310.7,7903474,5.017285, 13.2583
1995-06-02, 4279.7,7736205,4.902333,13.31749
1995-06-03,4337,7778022,4.902333,13.43587
