IMF,amount,MAPE,MAE,MSE,RMSE,DTW
2_3_residue,2,21.13,679.88,734390.12,856.97,122934.2753267818
2_3_residue,3,15.92,495.29,359922.74,599.94,85751.86164243374
2_3_residue,4,12.21,361.88,197681.69,444.61,63525.53879948805
2_3_residue,5,9.61,303.92,145007.89,380.8,52325.84470481722
2_3_residue,6,6.86,246.63,110692.96,332.71,42872.36088289721
2_3_residue,7,6.76,233.28,107032.86,327.16,36280.890937690776
2_3_residue,8,6.21,215.0,90096.7,300.16,32203.703530440656
2_3_residue,9,5.39,188.42,67682.89,260.16,29511.60948774332
2_3_residue,10,5.08,181.39,66443.71,257.77,27694.235782282973
2_3_residue,11,5.05,182.51,68368.3,261.47,27150.37251016601
2_3_residue,12,4.75,167.02,60110.47,245.17,25294.30567435355
2_3_residue,13,4.62,164.4,59607.37,244.15,24286.299082715992
2_3_residue,14,4.44,159.0,52202.86,228.48,21955.13726152889
2_3_residue,15,4.41,158.19,51359.47,226.63,21233.76132144116
2_3_residue,16,4.63,164.54,55077.06,234.69,21919.755086419114
2_3_residue,17,4.49,162.48,54505.67,233.46,21149.151071583743
2_3_residue,18,4.39,152.3,48418.96,220.04,20679.406837163475
2_3_residue,19,4.25,149.59,47577.87,218.12,20187.84694102324
2_3_residue,20,4.26,149.35,47811.21,218.66,20753.860112491657
2_3_residue,21,4.26,154.22,49466.96,222.41,21481.851772755945
2_3_residue,22,4.07,146.33,46801.0,216.34,19126.962701631484
2_3_residue,23,4.08,150.11,50410.34,224.52,19586.53292586241
2_3_residue,24,4.02,146.65,47041.17,216.89,20092.37858291217
2_3_residue,25,4.11,150.68,47799.03,218.63,20148.55079853548
2_3_residue,26,4.05,150.54,49953.34,223.5,19518.08332062573
2_3_residue,27,4.08,150.95,49537.63,222.57,19315.990276995944
2_3_residue,28,4.02,149.27,47275.01,217.43,19717.12818008496
2_3_residue,29,3.93,145.26,46486.65,215.61,19403.645895846326
2_3_residue,30,4.0,148.74,46708.88,216.12,19348.86187292612
2_3_residue,31,4.12,150.35,47328.93,217.55,20362.74766151133
2_3_residue,32,4.03,146.15,45307.42,212.86,19973.33088834489
2_3_residue,33,4.11,151.42,48967.12,221.29,20346.067237522537
2_3_residue,34,3.93,147.2,47709.66,218.43,18557.68476879526
2_3_residue,35,4.08,149.26,49179.09,221.76,20361.42479468904
2_3_residue,36,3.99,145.33,47308.34,217.5,19473.57972865056
2_3_residue,37,3.81,141.9,44047.35,209.87,18763.97574835031
2_3_residue,38,3.98,150.58,47636.86,218.26,19865.31583108993
2_3_residue,39,3.89,146.31,47732.42,218.48,19631.65722875848
2_3_residue,40,3.87,146.72,49405.69,222.27,20012.48350341512
2_3_residue,41,3.88,146.08,48610.02,220.48,18077.7257542982
2_3_residue,42,3.83,139.46,44093.09,209.98,20367.14082515114
2_3_residue,43,3.86,145.07,47229.15,217.32,19289.79046184892
2_3_residue,44,3.92,147.59,49578.02,222.66,18808.7607890768
2_3_residue,45,3.86,141.81,45150.09,212.49,20238.804173269848
2_3_residue,46,3.82,138.86,42999.68,207.36,18693.760935037
2_3_residue,47,3.68,136.51,44077.65,209.95,17289.07234853631
2_3_residue,48,3.74,139.85,42788.74,206.85,18470.21531861639
2_3_residue,49,3.67,134.65,38074.42,195.13,18557.834698833783
2_3_residue,50,3.79,141.35,42225.68,205.49,20034.361998792883
2_3_residue,51,3.74,139.94,45319.54,212.88,18501.47453158696
2_3_residue,52,3.56,135.56,44350.42,210.6,17555.66566252939
2_3_residue,53,3.68,137.59,41697.02,204.2,19424.7340468752
2_3_residue,54,3.51,127.21,35321.49,187.94,17665.009878608296
2_3_residue,55,3.68,136.86,43271.63,208.02,17720.708588340407
2_3_residue,56,3.65,132.27,37977.07,194.88,18732.112720037778
2_3_residue,57,3.5,132.94,40844.0,202.1,18487.5177462368
2_3_residue,58,3.62,135.18,41100.58,202.73,19160.99936868084
2_3_residue,59,3.53,131.61,42529.53,206.23,17608.239199844487
2_3_residue,60,3.5,126.85,38414.57,196.0,16943.445350330592
2_3_residue,61,3.46,130.49,40982.35,202.44,18570.42482466735
2_3_residue,62,3.47,126.52,37197.31,192.87,18201.705341275272
2_3_residue,63,3.32,121.46,35709.06,188.97,17731.478021316772
2_3_residue,64,3.19,120.92,33953.63,184.27,18378.08395282614
2_3_residue,65,3.39,126.23,41238.62,203.07,17456.241075077585
2_3_residue,66,3.36,119.93,33680.35,183.52,17690.00520184136
2_3_residue,67,3.3,122.1,37649.46,194.03,17066.202511655647
2_3_residue,68,3.13,115.05,33179.75,182.15,16383.50925551993
2_3_residue,69,3.42,128.09,38108.47,195.21,18642.432482410848
2_3_residue,70,3.3,123.43,38651.34,196.6,17179.19656394182
2_3_residue,71,3.31,123.6,34613.89,186.05,17803.917639463183
2_3_residue,72,3.1,115.07,33722.64,183.64,16208.971407105431
2_3_residue,73,3.19,122.85,36043.7,189.85,17958.997510535104
2_3_residue,74,3.16,117.9,34006.95,184.41,17254.55428880695
2_3_residue,75,3.0,110.22,32987.36,181.62,16663.209628994806
2_3_residue,76,3.48,129.1,38589.0,196.44,18864.44816886292
2_3_residue,77,3.07,116.25,35752.68,189.08,16433.607427899427
2_3_residue,78,3.02,112.34,30706.57,175.23,17042.776495195045
2_3_residue,79,2.84,100.19,26346.91,162.32,15519.039896846569
2_3_residue,80,3.03,112.17,32642.6,180.67,17707.691220353074
2_3_residue,81,2.83,105.36,31044.94,176.2,15363.720042861629
2_3_residue,82,2.93,106.89,31762.99,178.22,16021.761456057851
2_3_residue,83,3.15,120.26,36580.21,191.26,17876.020135287647
2_3_residue,84,2.86,105.76,29973.86,173.13,15479.47711379022
2_3_residue,85,2.72,98.62,27350.88,165.38,14298.835782727963
2_3_residue,86,2.7,98.28,26557.23,162.96,14361.390705636208
2_3_residue,87,2.68,94.55,25595.29,159.99,14347.534038857411
2_3_residue,88,2.64,95.83,27756.84,166.6,14346.389488354407
2_3_residue,89,2.83,104.76,30749.73,175.36,15630.620682366072
2_3_residue,90,2.8,105.07,30147.4,173.63,16034.973099808874
2_3_residue,91,2.67,98.69,27105.16,164.64,14533.552637804709
2_3_residue,92,2.53,86.93,23875.44,154.52,13296.338114895592
2_3_residue,93,2.77,103.55,28995.4,170.28,16380.49876486216
2_3_residue,94,2.43,91.88,26041.75,161.37,13953.612620312892
2_3_residue,95,2.6,94.84,26899.03,164.01,14538.804598524355
2_3_residue,96,2.48,88.42,24219.54,155.63,13932.505573992574
2_3_residue,97,2.65,101.26,31065.5,176.25,15264.717782277638
2_3_residue,98,2.6,92.0,23803.23,154.28,14302.821809641082
2_3_residue,99,2.31,76.9,20454.7,143.02,10921.74687503745
2_3_residue,100,2.34,74.07,17066.42,130.64,10909.553247416356
2_3_residue,2,21.13,679.88,734390.11,856.97,122934.26968500268
2_3_residue,3,15.92,495.29,359922.7,599.94,85751.86110314119
2_3_residue,6,6.86,246.63,110692.94,332.71,42872.35692670398
2_3_residue,7,6.76,233.28,107033.17,327.16,36280.93301106207
2_3_residue,8,6.51,227.23,98988.28,314.62,35306.30432695564
2_3_residue,9,5.39,188.42,67683.08,260.16,29511.56623314628
2_3_residue,10,5.08,181.39,66443.83,257.77,27694.20303594178
2_3_residue,11,4.81,170.11,58559.11,241.99,25390.91277410032
2_3_residue,12,4.8,173.73,60884.2,246.75,24256.83680944445
2_3_residue,13,4.66,165.05,58213.88,241.28,22560.687019735407
2_3_residue,14,4.47,159.77,51577.87,227.11,22212.25510242976
2_3_residue,15,4.58,162.17,54161.15,232.73,22368.930191919768
2_3_residue,18,4.33,154.05,49033.13,221.43,20581.010103695426
2_3_residue,19,4.22,152.24,48697.96,220.68,19998.94407512605
2_3_residue,20,4.21,150.52,49326.49,222.1,19815.28995404533
2_3_residue,21,4.01,145.47,46942.74,216.66,18551.42254714163
