IMF,amount,MAPE,MAE,MSE,RMSE,DTW
2+3+residue,2,4.5,195.91,58126.6,241.09,54855.60906693537
2+3+residue,3,3.03,128.05,27737.99,166.55,35193.90257455611
2+3+residue,4,2.39,101.61,17198.26,131.14,27482.02979094168
2+3+residue,5,2.06,86.49,11931.18,109.23,23411.67055092489
2+3+residue,6,1.76,75.5,10114.64,100.57,19397.67077271102
2+3+residue,7,1.68,71.5,8379.14,91.54,18273.64102511209
2+3+residue,8,1.45,61.06,6341.36,79.63,15465.2602135694
2+3+residue,9,1.38,58.49,5657.29,75.21,14419.200204606992
2+3+residue,10,1.28,53.54,4905.14,70.04,12652.511975491852
2+3+residue,11,1.29,54.14,4942.47,70.3,12431.718417069816
2+3+residue,12,1.22,51.41,4385.21,66.22,11765.65169226904
2+3+residue,13,1.19,50.34,4368.23,66.09,10973.316233862715
2+3+residue,14,1.17,49.01,3971.16,63.02,10523.450673079347
2+3+residue,15,1.17,49.61,4219.09,64.95,10513.805810069143
2+3+residue,16,1.14,48.19,3707.38,60.89,10013.38047280024
2+3+residue,17,1.16,49.22,4024.5,63.44,9701.47617326996
2+3+residue,18,1.15,48.67,4008.34,63.31,9305.027873727966
2+3+residue,19,1.1,46.6,3848.06,62.03,8675.760828467377
2+3+residue,20,1.15,48.28,3994.55,63.2,9669.45967100978
2+3+residue,21,1.1,46.53,3616.69,60.14,8910.325671536191
2+3+residue,22,1.13,47.89,3913.02,62.55,8915.927916456496
2+3+residue,23,1.11,46.63,3680.97,60.67,9231.23780682246
2+3+residue,24,1.07,45.54,3575.67,59.8,8042.292324084321
2+3+residue,25,1.12,47.37,3729.66,61.07,8930.584415537463
2+3+residue,26,1.07,45.35,3428.86,58.56,8256.357918200629
2+3+residue,27,1.07,45.01,3417.77,58.46,8013.944371716732
2+3+residue,28,1.07,45.31,3420.62,58.49,8244.556072771567
2+3+residue,29,1.08,45.51,3584.85,59.87,8907.468842336344
2+3+residue,30,1.05,44.54,3373.23,58.08,8301.996324418089
2+3+residue,31,1.05,44.21,3310.09,57.53,7891.690411753912
2+3+residue,32,1.05,44.22,3224.18,56.78,8534.537298190486
2+3+residue,33,1.07,45.2,3360.27,57.97,8386.426162049953
2+3+residue,34,1.06,44.41,3209.54,56.65,8301.092068414015
2+3+residue,35,1.06,44.32,3160.94,56.22,8249.444063090797
2+3+residue,36,1.03,43.53,3099.85,55.68,7936.19105185879
2+3+residue,37,1.05,44.54,3303.91,57.48,7875.80292542108
2+3+residue,38,1.03,43.43,3187.85,56.46,8124.14723773259
2+3+residue,39,1.04,44.04,3193.61,56.51,7509.329359685921
2+3+residue,40,1.04,43.69,3143.86,56.07,7815.957524061863
2+3+residue,41,1.03,43.25,3081.82,55.51,7833.206372380666
2+3+residue,42,1.03,43.35,3158.22,56.2,7625.154717114112
2+3+residue,43,1.01,42.55,3051.71,55.24,7824.438769078801
2+3+residue,44,1.01,42.36,2951.67,54.33,8596.776868404631
